一	one	One stroke		floor or ceiling depending on its position	one; a, an; alone	one	one	One	Un	"In Chinese characters, the number one is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.  -  * As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of floor or ceiling, depending on its position: if it stands above another primitive, it means ceiling; if below, floor.  -  One down, 2041 to go. ;).  -  To learn this one kanji, I recommend (#2000) this story : Bambi is in a cave, eating a side-dish of salad when trying to learn the kanjis. As he succeed to learn the kanji for ""one"", you get jealous and decide to shoot him with a slingshot. At this moment you hear the police coming, so you hurriedly burn all the proofs into a fire (so you remove the key-words Bambi, slingshot and fire from recommend). So that when the police arrives, the only remaining clue is a single horizontal bar."	Comme le chiffre romain I mais vertical. En composant, comme plancher ou plafond selon qu'il soit en dessous ou dessus.	80_一_一	1	0001	1	1		CJK-Hanja CJK-RSH CJK-RTH CJK-RTK RADICAL_一
二	two	Two repetitions of the one			two; twice	two	two	Two	Deux	Like the Roman numeral II, which reduplicates the numeral I, the kanji for two is a simple reduplication of the horizontal stroke that means one. The order of writing goes from above to below, with the first stroke slightly shorter.  -    -  Two lines.  -  Roman numeral II, written on its side.	Duplication du caractère un donnant II. Le premier trait est plus court.	80_二_二	2	0002	2	2		CJK-Hanja CJK-RSH CJK-RTH CJK-RTK RADICAL_二
三	three	One + Two = Three, so the middle stroke stay shorter			three	three	three	Three	Trois	"And like the Roman numeral III, which triples the numeral I, the kanji for three simply triples the single horizontal stroke. In writing it, think of ""1 + 2 = 3"" (一 + 二 = 三) in order to keep the middle stroke shorter.  -    -  One + two = three.  -  THREE measurements define the female shape: BUST, WAIST, and HIPS. Waist is the smallest, and for most women the HIPS are wider than the chest."	1 + 2 = 3 Le troisième plus long que le premier.	80_一_三	3	0003	3	3		CJK-Hanja CJK-RSH CJK-RTH CJK-RTK RADICAL_一
四	four	Four year-old puting their human legs in their mouth			four	four	four	Four	Quatre	"This character is composed of two primitive elements, mouth and human legs,  both of which we will meet in the coming lessons. Assuming that you already knew how to write this kanji, we will pass over the ""story"" connected with it until later. Note how the second stroke is written left-to-right and then top-to-bottom. This is consistent with what we have already seen in the first three numbers and leads us to a general principle that will be helpful when we come to more complicated kanji later on: write north-to-south, west-to-east, northwest-to-southeast.  -    -  FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.  -  I imagine a giant devouring a human in four bites. First the giant bites off the person´s head, then he bites the torso, then from the waist to the knees, and finally the giant plucks up the remaining portion of the human legs into his mouth. See the fourth bite falling in there?"	Sésame de bouche et de paire de jambes. On suppose qu'on connait déjà.	80_囗_四	4	0004	4	4		CJK-Hanja CJK-RSH CJK-RTH CJK-RTK RADICAL_囗
五	five	[三 three ] + II (two) = five and the overall looks like the number five			five; surname	five	five	Five	Cinq	"As with four, we shall postpone learning the primitive elements that make up this character. Note how the general principle we just learned in the preceding frame applies to the writing of the character for five.  -    -  三 + two vertical lines = 5.  -  This Kanji looks like a ""3"" Kanji with two added vertical lines. 3+2= 5."	La forme du caractère cinq rappelle celle du chiffre arabe 5.	80_二_五	5	0005	5	5		CJK-Hanja CJK-RSH CJK-RTH CJK-RTK RADICAL_二
六	six	A top hat with animal legs is clearly the work of the devil. Six six six!			number six	six	six	Six	Six	The primitives here are top hat and animal legs. Once again, we glide over them until later.  -    -  Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.  -  Six-Six-SIX ((666)) Mark of the Beast!! Imagine that dapper old beastly fellow summoning his top hat to himself. See it scamper over to him on a little pair of beastly legs.	Les sésames sont ici chapeau haut de forme, que nous verrons page 100, et paire de pattes, mais nous les oublierons momentanément.	80_八_六	6	0006	6	6		CJK-Hanja CJK-RSH CJK-RTH CJK-RTK RADICAL_八
七	seven	"Our seven, turned upside down. The first stroke ""cuts"" clearly through the second. So it's different from [匕 spoon]."		diced (cut in little piecies), useful for [cut 切]	seven	seven	seven	Seven	Sept	"Note that the first stroke ""cuts"" through the second. This distinguishes seven from the character for spoon (Frame 476), in which the horizontal stroke stops short.  -  * As a primitive, this form takes on the meaning of diced, i.e., ""cut"" into little pieces, consistent both with the way the character is written and with its association with the kanji for cut to be learned in a later lesson (Frame 89).  -  This kanji is our good old seven, turned upside down.  -  I wrote it upside down so I crossed it out."	C'est un sept retourné. Le premier trait coupe le second : cela permet de distinguer ce caractère du composant [ cuiller「匕」] dans lequel le premier trait s’arrête presque net.  Le sésame de ce kanji sera découper, ou couper en dés, pour deux raisons : cette idée est exprimée par le dessin du caractère et c'est de lui que dérive le kanji [couper 切].	80_一_七	7	0007	7	7		CJK-Hanja CJK-RSH CJK-RTH CJK-RTK RADICAL_一
八	eight	The curtains close at eight.	"Like our lazy 8, the infinite ∞, the char have the sense of infinite expanse or ""all encompassing"" (below the stroke)"		eight; all around, all sides	eight	eight	Eight	Huit	"Just as the Arabic numeral ""8"" is composed of a small circle followed by a larger one, so the kanji for eight is composed of a short line followed by a longer line, slanting towards it but not touching it. And just as the ""lazy 8"" is the mathematical symbol for ""infinity,"" so the expanse opened up below these two strokes is associated by the Japanese with the sense of an infinite expanse or something ""all-encompassing.""  -    -  Hachi (eight) begins with the sound of the katakana ""ha"", and it´s approximately the same character.  -  The valcano hasn´t erupted for 8 years."	De même que le chiffre arabe 8 est composé d’un petit cercle suivi d’un plus grand, le kanji de huit suit cette règle avec les traits. Et, de même que le huit couché, ∞, symbolise l’infinité, l’espace ouvert sous ces deux lignes représente pour les Japonais l’idée de tout englober.	80_八_八	8	0008	8	8		CJK-Hanja CJK-RSH CJK-RTH CJK-RTK RADICAL_八
九	nine	"It looks like an elaborate letter ""n"" for nine. Rememlber stroke order for [力 power]"		baseball or baseball team (nine players)	nine	nine	nine	Nine	Neuf	If you take care to remember the stroke order of this kanji, you will not have trouble later keeping it distinct from the kanji for power (Frame 922).  -  * As a primitive, we shall use this kanji to mean baseball team or simply baseball. The meaning, of course, is derived from the nine players who make up a team.  -  Kinda of looks like the kanji of 1　一 with the kanji of 8 八added. So think of it as 　一＋八＝九.  -  Warning - naughty reminder A woman in the doggie style position, waiting for my NINE inches.	Le sens de ce caractère est celui du nombre neuf. Si vous veillez à retenir son ordre d’écriture, vous le distinguerez aisément du kanji [force 力 941].  En composant, et bien que ce genre de jeu de mots ne soit peut-être pas à recommander, nous profiterons du double sens du mot-clé en français, et affixerons à ce kanji un sésame portant le sens de nouveau.	80_乙_九	9	0009	9	9		CJK-Hanja CJK-RSH CJK-RTH CJK-RTK RADICAL_乙
十	ten	The Roman character for ten rotated.		Sometimes ten, sometimes needle for [針 needle]	ten, tenth; complete; perfect	ten	ten	Ten	Dix	Turn this character 45 degrees either way and you have the x used for the Roman numeral ten.  -  * As a primitive, this character sometimes keeps its meaning of ten and sometimes signifies needle, this latter derived from the kanji for needle (Frame 292). Since the primitive is used in the kanji itself, there is no need to worry about confusing the two. In fact, we shall be following this procedure regularly.  -  Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees).  -  I scared away ten vampires with a single cross!	Tournez cette fois votre livre de 45 degrés, et vous lirez sans trop de peine le X des caractères romains. Devenu composant, ce caractère gardera souvent le sens de dix. Toutefois le sésame aiguille sera parfois mis à profit. Cette signification dérive du kanji [aiguille 針 295]. Comme le kanji aiguille n'est pas employé en composant, n'ayez crainte de confondre le composant et le kanji.	80_十_十	10	0010	10	10		CJK-Hanja CJK-RSH CJK-RTH CJK-RTK RADICAL_十
